,Alberni-Clayoquot,Bulkley-Nechako,Capital,Cariboo,Central Coast,Central Kootenay,Central Okanagan,Columbia-Shuswap,Comox Valley,Cowichan Valley,East Kootenay,Fraser Valley,Fraser-Fort George,Greater Vancouver,Kitimat-Stikine,Kootenay Boundary,Mount Waddington,Nanaimo,North Coast,North Okanagan,Northern Rockies,Okanagan-Similkameen,Peace River,Powell River,Squamish-Lillooet,Stikine,Strathcona,Sunshine Coast,Thompson-Nicola
1991,31758.372338703022,40364.53324790682,284814.21842941624,57925.39768293346,,52077.46151929893,99301.1653527131,44098.1522457001,36419.221741534995,60264.541159105385,54149.356905811976,187773.02423684523,94889.61880435034,1656804.0830345321,44977.30019454046,32428.82015209372,14694.237642047738,100936.23358121817,24809.92867300748,56876.43008285543,5017.717948876327,68207.22082166208,57537.20655496061,20096.767171227973,23106.744800348413,,33658.07691719488,20250.746172451334,104771.14510284444
1996,32051.859974646675,43053.56856692668,318711.62595308106,58946.10953637722,,57889.49349901915,128768.00992160744,49917.90378890612,50949.050908203,72045.44109292257,57061.84987333487,228796.45767845408,102309.15391129651,1891895.4921631934,46645.92314890736,33196.732199426384,15342.64619465404,121272.94678115826,24741.861263354855,72333.00669241227,5805.198920348243,77540.26475463081,58646.57766921073,20313.343832298862,30065.566654648006,,43725.90456101128,24217.364632318167,119570.76040875736
2001,31608.0,42493.0,340002.0,68226.0,3918.0,59366.0,154196.0,50198.0,57557.0,75040.0,58584.0,247745.0,99144.0,2074885.0,43254.0,33126.0,13650.0,132480.0,22540.0,76334.0,5985.0,79919.0,57414.0,20574.0,34454.0,614.0,42622.0,26687.0,124335.0
2002,31251.0,41456.0,342012.0,66701.0,3787.0,58427.0,155939.0,50152.0,57597.0,75316.0,58041.0,250410.0,97397.0,2099303.0,42109.0,32427.0,13183.0,134102.0,21926.0,76578.0,6042.0,80189.0,57625.0,20208.0,34839.0,634.0,42230.0,27022.0,123661.0
2003,31279.0,40837.0,344180.0,65487.0,3538.0,57802.0,158399.0,50316.0,58183.0,76162.0,57605.0,253771.0,95707.0,2116536.0,41326.0,31930.0,12702.0,136127.0,21358.0,77112.0,6198.0,80474.0,58122.0,19989.0,35632.0,623.0,42228.0,27276.0,123583.0
2004,31281.0,40542.0,346761.0,64573.0,3468.0,57518.0,161097.0,50365.0,59227.0,77277.0,57125.0,258035.0,95071.0,2134772.0,40634.0,31424.0,12439.0,138633.0,20908.0,77806.0,6391.0,80999.0,58587.0,19915.0,35897.0,629.0,42603.0,27715.0,123959.0
2005,31522.0,39796.0,352078.0,64005.0,3377.0,57345.0,163655.0,50813.0,60203.0,77942.0,56919.0,261562.0,95014.0,2158900.0,39955.0,31423.0,12256.0,140465.0,20498.0,78945.0,6432.0,81122.0,59154.0,19939.0,36779.0,641.0,42932.0,28100.0,124290.0
2006,31479.0,39378.0,355050.0,63872.0,3273.0,57204.0,167112.0,51346.0,60956.0,78864.0,56902.0,265572.0,95194.0,2188847.0,39456.0,31428.0,11944.0,142109.0,20170.0,79250.0,6383.0,81135.0,60371.0,20018.0,36470.0,653.0,43252.0,28312.0,125794.0
2007,31430.0,39531.0,357049.0,64294.0,3256.0,57739.0,171012.0,51748.0,61890.0,79415.0,57444.0,269584.0,95714.0,2217187.0,39184.0,31608.0,11998.0,143672.0,19962.0,80248.0,6211.0,81626.0,61113.0,20219.0,37154.0,625.0,43558.0,28588.0,127925.0
2008,31562.0,39739.0,359585.0,64679.0,3241.0,58436.0,175192.0,51981.0,62876.0,80296.0,58060.0,273819.0,95412.0,2253640.0,39172.0,31721.0,12023.0,145455.0,19880.0,81474.0,5994.0,82118.0,61230.0,20303.0,38058.0,643.0,43909.0,28948.0,129890.0
2009,31699.0,39721.0,363445.0,64169.0,3242.0,58838.0,178379.0,51804.0,63271.0,80847.0,58276.0,277581.0,94263.0,2301223.0,39083.0,31712.0,11845.0,146500.0,19670.0,82134.0,5983.0,81918.0,61457.0,20245.0,38981.0,632.0,43894.0,29009.0,130685.0
2010,31749.0,39979.0,366716.0,63796.0,3261.0,59244.0,181491.0,51681.0,63821.0,81306.0,58151.0,281345.0,93943.0,2344223.0,38610.0,31727.0,11807.0,147895.0,19460.0,82442.0,6059.0,81664.0,61285.0,20238.0,39153.0,639.0,43907.0,29007.0,130947.0
2011,31623.0,39917.0,367617.0,63380.0,3285.0,59348.0,183607.0,51275.0,64486.0,81567.0,57743.0,283966.0,94022.0,2374754.0,38092.0,31530.0,11720.0,148912.0,19133.0,82469.0,6067.0,81752.0,61798.0,20131.0,39385.0,652.0,43972.0,28976.0,130925.0
2011,31623.0,39917.0,367617.0,63380.0,3285.0,59348.0,183607.0,51275.0,64486.0,81567.0,57743.0,283966.0,94022.0,2374754.0,38092.0,31530.0,11720.0,148912.0,19133.0,82469.0,6067.0,81752.0,61798.0,20131.0,39385.0,652.0,43972.0,28976.0,130925.0
2012,31444.0,39768.0,374298.0,63243.0,3306.0,59217.0,186128.0,51069.0,65062.0,81897.0,58613.0,287821.0,94563.0,2419034.0,38107.0,31790.0,11759.0,150516.0,19058.0,83136.0,6311.0,81296.0,63118.0,20156.0,40484.0,665.0,44122.0,29158.0,131630.0
2013,31335.0,39660.0,380835.0,63280.0,3373.0,59495.0,189123.0,51299.0,65336.0,82588.0,59540.0,291210.0,95686.0,2459496.0,38458.0,31736.0,11666.0,152325.0,19008.0,83563.0,6136.0,81664.0,64264.0,20256.0,41362.0,691.0,44355.0,29319.0,133018.0
2014,31503.0,39663.0,386307.0,63624.0,3360.0,59943.0,193255.0,51468.0,66206.0,83868.0,60723.0,295062.0,96454.0,2507464.0,39100.0,31845.0,11691.0,154934.0,18973.0,84722.0,6016.0,82848.0,65422.0,20371.0,42641.0,719.0,44800.0,29837.0,134284.0
2015,31743.0,39381.0,392200.0,63858.0,3359.0,60796.0,198303.0,52360.0,67555.0,85081.0,61878.0,300914.0,97474.0,2544513.0,39041.0,32035.0,11514.0,157944.0,18950.0,85772.0,5771.0,84091.0,65928.0,20361.0,43367.0,741.0,45418.0,30359.0,135681.0
2016,32287.0,39474.0,400562.0,64293.0,3464.0,61753.0,203998.0,53426.0,68935.0,86849.0,62775.0,309442.0,98862.0,2582207.0,38959.0,32591.0,11432.0,161435.0,19001.0,87523.0,5641.0,85829.0,65950.0,20729.0,45530.0,767.0,46448.0,30952.0,138136.0
2017,32579.0,39458.0,406681.0,64710.0,3485.0,62324.0,208476.0,54406.0,70267.0,88333.0,63280.0,316680.0,100203.0,2616913.0,38925.0,32839.0,11507.0,164533.0,19117.0,88745.0,5360.0,86943.0,66195.0,20859.0,46672.0,731.0,47266.0,31268.0,140629.0
2018,32978.0,39496.0,413016.0,65146.0,3548.0,62992.0,213831.0,55270.0,71526.0,89475.0,64142.0,324988.0,101957.0,2658594.0,39085.0,33184.0,11611.0,167356.0,19218.0,89813.0,5156.0,88443.0,66747.0,21006.0,47227.0,736.0,48164.0,31551.0,144220.0
2019,33516.0,39586.0,419827.0,65381.0,3553.0,63484.0,218602.0,56188.0,72663.0,90230.0,65228.0,331511.0,103131.0,2709285.0,39479.0,33373.0,11699.0,169988.0,19277.0,90947.0,5068.0,89387.0,67140.0,21093.0,47839.0,712.0,48794.0,31738.0,146077.0
2020,33856.0,39527.0,425818.0,65381.0,3578.0,63978.0,223531.0,56776.0,73557.0,90910.0,65796.0,335317.0,104036.0,2743774.0,39978.0,33414.0,11676.0,171693.0,19368.0,92195.0,4964.0,90066.0,67135.0,21246.0,48637.0,702.0,49391.0,31894.0,147301.0
2021,34322.0,39927.0,430484.0,65624.0,3621.0,64198.0,229005.0,57691.0,74445.0,91646.0,66515.0,339701.0,103754.0,2764939.0,40355.0,33786.0,11787.0,173599.0,19506.0,93275.0,4963.0,90940.0,67145.0,21407.0,48739.0,710.0,50056.0,32318.0,147920.0
2022,34867.0,40201.0,439950.0,65855.0,3688.0,64767.0,235472.0,58878.0,75484.0,92756.0,67454.0,345588.0,103861.0,2842720.0,40880.0,34080.0,11899.0,176382.0,19575.0,94903.0,4890.0,91749.0,67272.0,21647.0,49747.0,722.0,50807.0,32865.0,150365.0
