,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
1990,13603,17605,112560,52250,56204,238053,4024,82119,26205,6295,37473,2248,54798,64175,60195,20406,1507305,189731,26725,16616,59358,8864,38341,33350,18882,8915,586203,10035,79545,8289,465628,361333,30948,161238,3327,48439,127780,38775,188823
1991,13823,17677,114439,53436,57626,248417,4044,82862,27648,6366,38522,2259,56008,64309,62176,21144,1549991,196926,27203,16770,59975,8939,39473,33834,19024,9154,598065,10783,82803,8532,488075,365887,31617,167663,3347,48817,132669,38560,191490
1992,14063,17866,116503,54965,58275,255915,4041,83802,27423,6465,39077,2272,57596,64636,63289,21940,1570997,202113,27684,16858,60662,8973,40524,34388,19221,9353,610619,11379,85023,8625,496461,371147,32339,172425,3358,49361,137791,38770,194939
1993,14335,18124,119374,56423,59155,264548,4047,84813,28143,6561,40092,2268,59444,64930,64303,22641,1590603,207976,28295,17067,61523,9036,41693,35004,19449,9627,623697,12049,87550,8736,507336,377020,33250,177058,3420,50015,141270,38909,198225
1994,14679,18666,123457,58319,59919,274423,4053,85921,28692,6648,41280,2310,61638,65441,65139,23313,1609529,212429,28938,17295,62456,9181,42918,35709,19700,9918,636802,12409,90120,8908,519960,384035,34250,181715,3482,50761,146056,39064,202044
1995,15030,18937,128359,60079,60548,286804,4051,87232,29312,6812,42516,2322,64099,65820,66378,23950,1625241,218308,29791,17603,63835,9330,44128,36702,19990,10267,649284,12747,92627,9057,531704,391318,35523,186419,3546,51461,149942,39451,206046
1996,15323,19622,132590,61240,61469,298364,4051,88531,29967,6950,43694,2344,66484,66172,67308,24412,1640249,221849,30372,17926,65043,9471,45261,37501,20240,10579,653212,12833,94781,9236,542738,397508,36504,190409,3615,52162,154122,39590,209381
1997,15698,19943,135620,62895,62037,310512,4056,89568,30548,7058,45180,2354,68359,66553,68536,24925,1659106,225251,30989,18244,66182,9623,46350,38236,20420,10857,664070,12949,96950,9402,554585,403954,37405,194440,3656,53029,157071,40154,212375
1998,15879,20202,137717,64199,62933,323892,4058,90600,31427,7135,46465,2360,70578,66568,69609,25322,1686266,227179,31845,18573,67119,9838,47421,38629,20655,11146,675651,13042,98750,9558,570896,408740,38253,198435,3693,53962,160667,40610,215587
1999,16151,20442,139498,65575,63425,334641,4062,91744,32035,7184,47900,2372,72718,66766,70629,25865,1712122,229569,32916,18894,67830,10020,48410,39066,20823,11429,688884,13506,100421,9744,589266,413665,39122,203167,3758,54496,163774,40842,219483
2000,16428,20551,142475,66616,64179,345238,4064,92948,32603,7260,49347,2397,74698,67194,71558,26299,1737046,231969,33362,19161,68600,10184,49405,39564,20984,11732,700818,14077,102979,9872,606024,417939,40066,207355,3824,55180,166826,40740,222581
2001,16699,20650,145267,66896,64717,352715,4114,94081,32817,7340,50473,2382,75899,68709,72062,26665,1755487,233918,33936,19284,69372,10319,49979,39828,20950,11913,709288,14402,104246,9941,617864,423127,40331,210102,3831,55102,170980,40537,224229
2002,16911,20652,148290,67400,65398,364855,4115,94854,32871,7378,52286,2365,76942,69229,73151,27143,1777514,236656,34507,19364,70098,10277,50981,39992,20873,12013,721124,14664,105861,10045,629287,428755,40611,214139,3825,55242,174238,41002,224790
2003,17081,20709,151933,67507,65928,374091,4111,95849,33545,7397,54907,2348,77493,69445,73630,27343,1788082,239443,35474,19463,70395,10155,51963,39994,20661,12123,731969,14772,106647,10117,639942,428889,40960,218264,3833,55560,175984,40954,227956
2004,17489,20779,155874,68013,66725,385370,4122,96593,33944,7367,58576,2325,78979,70069,74549,27738,1800783,240777,36773,19652,71063,10305,53233,40160,20662,12191,743701,14935,108494,10284,648778,431905,41333,223065,3826,56167,180245,41686,230002
2005,17643,20939,159286,68963,67672,394600,4135,97673,34466,7405,62572,2315,80121,70812,75951,28356,1814999,239819,37660,19753,71771,10367,54739,40267,20675,12337,756919,15180,109977,10515,661346,438249,41792,229286,3867,57005,184965,42498,231902
2006,17690,21176,162255,69895,68948,404737,4128,99095,35505,7462,66371,2306,81792,71582,77189,28847,1845209,244049,38175,19979,73041,10435,56214,40656,20905,12464,774050,15379,112113,10777,676126,446751,42355,234083,3912,57224,190088,42848,234408
2007,17959,21413,165096,70773,69847,412692,4095,100377,36340,7484,69582,2287,83729,72038,78225,29244,1871098,247476,39134,20108,74026,10536,58066,40428,20790,12694,786911,15483,113890,10892,689314,454034,42759,239570,3963,57754,195298,42793,236923
2008,18214,21522,167598,71799,70629,419091,4099,101542,37238,7529,72230,2278,85983,72295,78544,29634,1891125,249905,40142,20216,74843,10629,59536,40589,20751,12844,794330,15634,115422,10941,699330,460303,43283,244853,4005,58063,197675,44066,239524
2009,18421,21593,171402,72185,71027,423775,4097,102175,38036,7563,75111,2272,87721,72569,78737,29773,1909205,251249,40710,20256,75305,10624,60237,40968,20888,12940,796900,15738,116612,10995,705894,466426,43510,249336,4003,58561,199736,44005,241708
2010,18728,21623,175177,72453,71404,425363,4078,102410,38431,7551,78163,2266,89120,72797,78506,29872,1931249,251133,40915,20318,75455,10570,60699,41120,20920,13001,795225,15769,116901,11066,713335,471221,43531,252264,3978,58781,201140,44776,243231
2011,18849,21667,177675,72833,71810,428626,4069,102730,38676,7514,80493,2266,89768,72885,82783,30184,1945686,250422,41271,20530,76299,10598,61235,41274,21123,13063,806190,15946,117617,11095,718874,474439,43781,254999,4018,58871,202277,44488,244553
2012,19013,21680,180115,73166,72383,432320,4039,103097,38968,7477,82484,2260,90404,73142,83515,30424,1956755,252907,41410,20677,76765,10612,61611,41324,21351,13107,814214,16056,118331,11152,725545,478381,43976,258517,4050,59309,203683,45424,245605
2013,19172,21725,183504,73391,72771,437014,4037,103470,39269,7449,84251,2260,91166,73272,83560,30592,1983550,253217,41444,20805,76966,10576,61956,41396,21563,13111,823032,16238,119219,11166,735288,484161,44135,262682,4053,59640,206021,45498,246825
2014,19309,21790,186954,74405,73104,444450,4003,104043,39557,7404,86544,2252,91862,73499,80810,30983,2021027,255971,42088,21031,77563,10569,62366,41547,21771,13141,834544,16422,120197,11191,746184,489986,44485,267616,4099,60459,207937,45817,248229
2015,19451,21889,189520,74873,73482,452534,4007,104702,40008,7354,87053,2280,92722,73474,81684,31266,2061981,259034,42381,21210,78006,10610,62545,41625,21981,13150,845324,16571,121166,11209,760430,495986,44729,271409,4128,61036,210116,46380,249314
2016,19643,22003,191531,75500,74160,461869,3990,105419,40533,7319,88515,2266,93434,73662,82759,31705,2118958,263471,43263,21496,78556,10636,63125,41795,22236,13180,862608,16775,122465,11256,773899,502706,44908,276016,4179,61045,212669,46623,251046
2017,20068,22047,194724,76338,74873,472481,3979,106469,41042,7283,90036,2263,94289,73910,84125,32000,2149910,265268,43919,21804,79477,10694,63889,41838,22479,13228,877920,16932,123727,11331,787096,511653,45161,280399,4227,61428,216113,46961,252692
2018,20200,22112,198731,77465,75513,480952,3970,107782,41570,7234,92626,2269,96214,74407,85072,32315,2187460,269280,44395,22087,80250,10769,64658,41928,22738,13267,891661,17209,125895,11412,801223,522337,45592,285842,4293,61663,220057,47217,253814
2019,20335,22182,202822,77944,76439,490693,3962,109315,42151,7209,94734,2278,97734,75145,85847,32683,2227755,272342,45180,22443,81151,10850,65082,41996,22958,13326,905841,17488,128037,11517,814419,531191,46111,289597,4373,62117,223930,47871,254770
2020,20613,22285,206873,79141,77155,503311,3952,110730,42938,7178,96749,2286,99123,75636,86857,32977,2269675,275611,46468,22735,82149,10876,65726,42104,23365,13401,920393,17788,129523,11604,827957,539339,46445,294793,4422,62584,226847,47973,256728
2021,20900,22500,209400,80000,77750,513100,3950,111500,43550,7250,98350,2300,100800,76050,87100,33100,2287050,277700,45225,23000,82700,10900,65750,42350,23425,13475,928200,17850,130000,11750,837800,542100,46725,297800,4475,62100,226300,44600,258100
2022,21100,22600,212300,80650,77625,520900,3950,112350,44000,7300,99750,2300,101800,76400,87700,33350,2317700,280900,47200,23150,83400,11050,66200,42700,23600,13625,937400,18150,131250,11900,847300,550700,47050,300500,4525,62625,231650,47800,259950
